Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-8,18B-8 wd,18B-8,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-10,18B-10 wd,18B-10,
Ceiling below roof joists,,,,,Wood shakes,Light,None,,18B-0 wl,18B-0,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-11,18B-11 wl,18B-11,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-13,18B-13 wl,18B-13,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-15,18B-15 wl,18B-15,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-19,18B-19 wl,18B-19,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-21,18B-21 wl,18B-21,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-30,18B-30 wl,18B-30,
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-38,18B-38 wl,18B-38,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-2,18B-2 wl,18B-2,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-3,18B-3 wl,18B-3,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-4,18B-4 wl,18B-4,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-5,18B-5 wl,18B-5,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-6,18B-6 wl,18B-6,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-8,18B-8 wl,18B-8,
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-10,18B-10 wl,18B-10,
Ceiling below roof joists,,,,,Wood shakes,White,None,,18B-0 ww,18B-0,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-11,18B-11 ww,18B-11,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-13,18B-13 ww,18B-13,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-15,18B-15 ww,18B-15,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-19,18B-19 ww,18B-19,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-21,18B-21 ww,18B-21,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-30,18B-30 ww,18B-30,
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-38,18B-38 ww,18B-38,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-2,18B-2 ww,18B-2,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-3,18B-3 ww,18B-3,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-4,18B-4 ww,18B-4,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-5,18B-5 ww,18B-5,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-6,18B-6 ww,18B-6,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-8,18B-8 ww,18B-8,
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-10,18B-10 ww,18B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,None,17A-0 ad,17A-0,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-0,17A-2 ad,17A-2,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-2,17A-2 ad,17A-2,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-3,17A-3 ad,17A-3,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-4,17A-4 ad,17A-4,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-5,17A-5 ad,17A-5,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-6,17A-6 ad,17A-6,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-7,17A-7 ad,17A-7,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-10,17A-10 ad,17A-10,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-12,17A-12 ad,17A-12,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-15,17A-15 ad,17A-15,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-17 or 18,17A-17 ad,17A-17,
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-20,17A-20 ad,17A-20,
